Location,PctChg1990to2000
United States,13.2
Nevada,66.3
Arizona,40
Colorado,30.6
Utah,29.6
Idaho,28.5
Georgia,26.4
Florida,23.5
Texas,22.8
North Carolina,21.4
Washington,21.1
Oregon,20.4
New Mexico,20.1
Delaware,17.6
Tennessee,16.7
South Carolina,15.1
Virginia,14.4
Alaska,14
California,13.8
Arkansas,13.7
Montana,12.9
Minnesota,12.4
New Hampshire,11.4
Maryland,10.8
Mississippi,10.6
Alabama,10.1
Indiana,9.7
Kentucky,9.7
Oklahoma,9.7
Wisconsin,9.6
Missouri,9.4
Hawaii,9.3
New Jersey,8.9
Wyoming,8.9
Illinois,8.7
Kansas,8.5
South Dakota,8.5
Nebraska,8.4
Vermont,8.1
Puerto Rico,8.1
Michigan,6.9
Louisiana,5.9
Massachusetts,5.5
New York,5.5
Iowa,5.4
Ohio,4.7
Rhode Island,4.5
Maine,3.8
Connecticut,3.6
Pennsylvania,3.4
West Virginia,0.8
North Dakota,0.5
District of Columbia,-5.7
