Location,PctChg1980to1990
United States,9.78
Alabama,3.77
Alaska,36.88
Arizona,34.84
Arkansas,2.81
California,25.74
Colorado,13.99
Connecticut,5.78
Delaware,12.09
District of Columbia,-4.92
Florida,32.75
Georgia,18.58
Hawaii,14.88
Idaho,6.65
Illinois,0.04
Indiana,0.98
Iowa,-4.7
Kansas,4.82
Kentucky,0.67
Louisiana,0.33
Maine,9.18
Maryland,13.39
Massachusetts,4.87
Michigan,0.36
Minnesota,7.34
Mississippi,2.09
Missouri,4.08
Montana,1.57
Nebraska,0.55
Nevada,50.14
New Hampshire,20.49
New Jersey,4.96
New Mexico,16.28
New York,2.46
North Carolina,12.7
North Dakota,-2.13
Ohio,0.46
Oklahoma,3.98
Oregon,7.95
Pennsylvania,0.15
Rhode Island,5.95
South Carolina,11.69
South Dakota,0.76
Tennessee,6.23
Texas,19.38
Utah,17.92
Vermont,10.03
Virginia,15.72
Washington,17.78
West Virginia,-8.01
Wisconsin,3.95
Wyoming,-3.4
Puerto Rico,10.18
